,Unnamed: 0,Location,Day,month,dayhalf,age,First F,First M,Female count,Male count,Gender,crime type
102,131,Kundapur,5.0,11.0,0.0,,1,0,2,1,1,Other case
103,132,Kundapur,5.0,11.0,0.0,62.0,1,0,1,0,1,Other case
104,133,Udupi,4.0,11.0,1.0,58.0,0,0,0,0,2,Accident case
105,134,Karkala,5.0,11.0,0.0,,0,0,0,1,2,Accident case
106,135,Hiriyadka,4.0,11.0,1.0,33.0,0,0,3,6,2,Accident case
107,136,Kundapur,5.0,11.0,0.0,63.0,1,0,1,0,1,Accident case
108,137,Udupi,3.0,11.0,,,0,1,0,1,0,Accident case
109,140,Kundapur,4.0,11.0,0.0,54.0,0,0,0,0,2,
110,141,Kundapur,4.0,11.0,1.0,25.0,0,0,0,1,2,Jugari case
111,142,Udupi,1.0,11.0,0.0,46.0,1,0,1,0,1,Theft case
112,143,Udupi,2.0,10.0,0.0,46.0,0,0,2,3,2,Theft case
113,144,Kundapur,2.0,11.0,0.0,46.0,1,0,1,0,1,Theft case
114,145,Udupi,1.0,10.0,0.0,29.0,0,0,3,3,2,Fraud case
115,146,Kundapur,3.0,11.0,0.0,30.0,1,0,1,3,1,Jugari case
116,147,Karkala,5.0,11.0,1.0,20.0,1,0,2,0,1,Accident case
117,148,Karkala,5.0,11.0,0.0,50.0,0,0,1,3,2,Accident case
118,152,Byndoor,3.0,11.0,1.0,48.0,0,0,3,3,2,Accident case
119,153,Udupi,3.0,11.0,0.0,65.0,1,0,3,2,1,Accident case
120,154,Kota,4.0,11.0,1.0,20.0,0,0,2,1,2,Accident case
121,155,Kollur,3.0,11.0,0.0,50.0,0,0,1,2,2,Violence Act in case
122,156,Kollur,3.0,11.0,0.0,30.0,1,0,4,3,1,Violence Act in case
123,157,Udupi,2.0,11.0,0.0,,1,0,1,0,1,Other case
124,158,Udupi,3.0,11.0,0.0,67.0,0,0,0,0,2,Accident case
125,159,Kundapur,3.0,11.0,1.0,28.0,1,0,1,0,1,Accident case
126,160,Kundapur,3.0,11.0,0.0,33.0,1,0,2,0,1,
127,161,Byndoor,3.0,11.0,0.0,,1,0,3,1,1,Theft case
128,162,Sirva,5.0,11.0,0.0,36.0,0,1,2,1,0,Other case
129,163,Kundapur,3.0,11.0,,,0,0,1,1,2,Accident case
130,164,Shankaranarayana,1.0,8.0,0.0,48.0,1,0,1,0,1,
131,166,Shankaranarayana,6.0,7.0,0.0,65.0,0,0,0,0,2,Other case
132,167,Hiriyadka,3.0,11.0,0.0,22.0,1,0,4,1,1,Other case
133,168,Amasebailu,1.0,11.0,0.0,43.0,1,0,2,0,1,Accident case
134,169,Udupi,2.0,11.0,1.0,,1,0,2,0,1,Accident case
135,170,Sirva,2.0,11.0,1.0,32.0,1,0,3,0,1,Accident case
136,171,Byndoor,1.0,11.0,1.0,20.0,1,0,1,2,1,Accident case
137,172,Kundapur,2.0,11.0,1.0,24.0,1,0,1,0,1,Accident case
138,174,Udupi,2.0,11.0,0.0,54.0,1,0,1,0,1,
139,175,Karkala,2.0,11.0,0.0,56.0,1,0,2,1,1,
140,176,Udupi,2.0,11.0,1.0,,0,0,0,0,2,Theft case
141,177,Kota,2.0,11.0,0.0,40.0,0,0,1,2,2,Other case
142,178,Kundapur,4.0,11.0,0.0,19.0,0,0,0,1,2,
143,179,Hiriyadka,1.0,11.0,0.0,25.0,1,0,1,0,1,Other case
144,182,Karkala,0.0,11.0,1.0,30.0,0,0,0,1,2,Accident case
145,183,Kota,1.0,11.0,0.0,65.0,1,0,1,0,1,Accident case
146,184,Udupi,5.0,11.0,1.0,55.0,1,0,2,0,1,Accident case
147,189,Byndoor,3.0,11.0,0.0,48.0,1,0,2,0,1,Accident case
148,190,Kundapur,0.0,11.0,0.0,,0,0,0,0,2,Accident case
149,191,Byndoor,0.0,11.0,0.0,35.0,0,0,0,0,2,Accident case
150,192,Udupi,0.0,11.0,1.0,26.0,1,0,3,0,1,Accident case
151,193,Kundapur,0.0,11.0,1.0,42.0,1,0,2,0,1,Accident case
152,194,Udupi,5.0,11.0,0.0,30.0,1,0,2,0,1,Other case
153,196,Udupi,3.0,11.0,0.0,30.0,0,0,0,0,2,Theft case
154,197,Manipal,6.0,11.0,1.0,20.0,0,0,2,1,2,Accident case
155,198,Udupi,6.0,11.0,1.0,53.0,1,0,1,1,1,Accident case
156,199,Byndoor,6.0,11.0,0.0,43.0,1,0,1,0,1,Accident case
157,201,Udupi,1.0,11.0,0.0,45.0,1,0,3,0,1,
158,202,Sirva,5.0,11.0,0.0,60.0,1,0,3,0,1,
159,203,Kundapur,5.0,11.0,1.0,52.0,1,0,2,1,1,Other case
160,204,Udupi,0.0,11.0,0.0,,0,0,0,4,2,Other case
161,206,Kundapur,5.0,11.0,1.0,37.0,0,0,0,0,2,Jugari case
162,207,Sirva,5.0,11.0,1.0,30.0,0,0,1,4,2,Jugari case
163,208,Hebri,5.0,11.0,0.0,32.0,0,0,1,1,2,Other case
164,209,Udupi,5.0,11.0,0.0,38.0,1,0,2,0,1,Accident case
165,210,Udupi,2.0,11.0,1.0,36.0,0,0,0,0,2,Accident case
166,211,Kundapur,5.0,11.0,,29.0,1,0,1,0,1,Accident case
167,212,Udupi,4.0,11.0,0.0,21.0,0,0,0,0,2,Accident case
168,213,Hebri,6.0,11.0,0.0,40.0,1,0,2,2,1,
169,214,Kundapur,5.0,11.0,0.0,32.0,1,0,2,0,1,
170,215,Udupi,4.0,11.0,0.0,27.0,0,0,0,2,2,
171,216,Kollur,5.0,11.0,1.0,34.0,0,0,2,1,2,Other case
172,217,Udupi,4.0,11.0,0.0,29.0,1,0,3,1,1,Accident case
173,218,Amasebailu,4.0,11.0,1.0,27.0,1,0,2,0,1,Accident case
174,219,Kundapur,3.0,11.0,0.0,40.0,1,0,1,0,1,Theft case
175,220,Udupi,2.0,11.0,0.0,23.0,1,0,2,0,1,Theft case
176,222,Manipal,0.0,11.0,0.0,,1,0,2,5,1,Other case
177,223,Byndoor,4.0,12.0,0.0,35.0,1,0,3,0,1,Accident case
178,224,Shankaranarayana,4.0,12.0,1.0,25.0,0,0,0,0,2,Accident case
179,225,Kota,4.0,12.0,0.0,35.0,1,0,1,0,1,Accident case
180,226,Udupi,1.0,6.0,0.0,48.0,1,0,2,2,1,Other case
181,227,Kundapur,3.0,12.0,1.0,22.0,0,0,1,2,2,Violence Act in case
182,228,Kundapur,3.0,12.0,1.0,28.0,0,0,0,2,2,Violence Act in case
183,229,Kundapur,2.0,12.0,0.0,14.0,1,0,1,0,1,Violence Act in case
184,231,Karkala,3.0,12.0,1.0,38.0,0,0,0,0,2,Other case
185,232,Kundapur,6.0,12.0,0.0,37.0,1,0,1,0,1,Accident case
186,233,Kundapur,3.0,12.0,1.0,,0,0,0,0,2,Accident case
187,234,Karkala,2.0,12.0,0.0,48.0,0,0,0,0,2,Accident case
188,235,Udupi,2.0,12.0,0.0,22.0,0,0,0,2,2,Accident case
189,236,Sirva,4.0,7.0,1.0,,1,0,3,0,1,
190,237,Shankaranarayana,3.0,12.0,1.0,53.0,1,0,1,1,1,Other case
191,238,Udupi,1.0,11.0,,28.0,0,0,0,0,2,Other case
192,239,Udupi,2.0,12.0,0.0,,0,0,0,0,2,Missing case
193,240,Karkala,3.0,12.0,1.0,,0,0,2,3,2,Accident case
194,241,Udupi,2.0,12.0,1.0,25.0,0,0,2,1,2,Accident case
195,242,Karkala,3.0,12.0,1.0,,0,0,0,1,2,Accident case
196,243,Kota,2.0,12.0,,40.0,0,0,0,0,2,Accident case
197,244,Udupi,3.0,12.0,1.0,35.0,1,0,1,4,1,Violence Act in case
198,245,Kota,2.0,12.0,,40.0,0,0,1,1,2,Accident case
199,246,Udupi,2.0,12.0,1.0,41.0,1,0,1,0,1,Accident case
200,247,Hebri,1.0,12.0,1.0,20.0,1,0,1,1,1,Accident case
201,248,Byndoor,1.0,12.0,0.0,21.0,1,0,4,1,1,Accident case
202,250,Udupi,1.0,12.0,1.0,,0,0,0,0,2,Theft case
203,251,Udupi,4.0,12.0,0.0,35.0,0,1,1,1,0,Other case
204,252,Kundapur,5.0,12.0,0.0,54.0,0,0,0,0,2,Accident case
205,253,Kollur,4.0,12.0,0.0,33.0,0,0,1,1,2,Accident case
206,254,Udupi,5.0,12.0,0.0,50.0,0,0,0,0,2,Accident case
207,255,Udupi,5.0,12.0,1.0,58.0,0,0,0,3,2,Accident case
208,256,Karkala,5.0,12.0,1.0,29.0,0,0,0,1,2,Accident case
209,257,Udupi,5.0,12.0,0.0,35.0,1,0,2,1,1,Other case
210,258,Kundapur,5.0,12.0,1.0,15.0,0,0,0,3,2,Accident case
211,259,Manipal,,,,,0,0,0,3,2,Other case
212,261,Karkala,2.0,12.0,1.0,70.0,1,0,1,0,1,Accident case
213,262,Karkala,3.0,12.0,,46.0,0,0,0,0,2,Accident case
214,263,Udupi,4.0,12.0,1.0,42.0,0,0,1,3,2,Violence Act in case
215,265,Byndoor,4.0,12.0,,32.0,0,1,0,1,0,Theft case
216,269,Udupi,3.0,12.0,1.0,42.0,0,0,0,1,2,Accident case
217,270,Udupi,3.0,12.0,1.0,,0,0,0,0,2,Accident case
218,271,Amasebailu,3.0,12.0,0.0,48.0,1,0,1,0,1,Accident case
219,272,Manipal,3.0,12.0,0.0,49.0,0,0,0,0,2,Theft case
220,273,Udupi,4.0,12.0,0.0,50.0,0,0,0,2,2,Missing case
221,274,Kundapur,2.0,12.0,1.0,40.0,0,0,0,0,2,Accident case
222,275,Kundapur,3.0,12.0,1.0,46.0,0,0,0,1,2,Accident case
223,276,Byndoor,1.0,12.0,0.0,23.0,1,0,6,2,1,Accident case
224,277,Udupi,3.0,12.0,1.0,50.0,0,0,0,0,2,Accident case
225,278,Karkala,2.0,12.0,1.0,45.0,0,0,0,2,2,Accident case
226,279,Shankaranarayana,0.0,12.0,1.0,19.0,1,0,3,0,1,Violence Act in case
227,280,Byndoor,2.0,12.0,0.0,,0,1,3,1,0,Violence Act in case
228,281,Udupi,0.0,11.0,0.0,49.0,1,0,2,0,1,Theft case
229,282,Kundapur,3.0,12.0,0.0,,0,0,0,0,2,Theft case
230,283,Udupi,2.0,12.0,1.0,57.0,1,0,2,0,1,Accident case
231,286,Udupi,0.0,11.0,0.0,39.0,1,0,5,1,1,Theft case
232,287,Kundapur,5.0,12.0,1.0,31.0,1,0,1,0,1,Theft case
233,288,Kundapur,5.0,12.0,0.0,60.0,1,0,1,0,1,Accident case
234,289,Byndoor,2.0,12.0,0.0,,1,0,1,1,1,Accident case
235,290,Byndoor,1.0,12.0,0.0,21.0,1,0,2,3,1,Missing case
236,291,Shankaranarayana,0.0,12.0,1.0,41.0,0,0,0,0,2,
237,292,Hebri,2.0,12.0,1.0,23.0,1,0,4,1,1,
238,293,Shankaranarayana,0.0,1.0,0.0,68.0,0,0,0,0,2,Accident case
239,294,Kota,6.0,1.0,1.0,42.0,1,0,1,1,1,Accident case
240,295,Karkala,6.0,1.0,,60.0,0,0,0,0,2,Theft case
241,296,Udupi,,,0.0,26.0,0,0,2,1,2,Accident case
242,297,Hebri,3.0,12.0,1.0,40.0,0,0,0,4,2,Accident case
243,298,Udupi,0.0,12.0,1.0,21.0,1,0,2,7,1,Other case
244,299,Sirva,5.0,12.0,0.0,38.0,1,0,5,1,1,
245,300,Manipal,4.0,12.0,1.0,,0,0,0,0,2,Accident case
246,301,Hiriyadka,6.0,1.0,1.0,36.0,1,0,1,0,1,Accident case
247,302,Kollur,5.0,1.0,1.0,32.0,1,0,1,0,1,Accident case
248,303,Kota,6.0,1.0,0.0,23.0,0,0,0,1,2,Accident case
249,304,Udupi,1.0,12.0,0.0,27.0,0,0,0,0,2,Theft case
250,305,Manipal,4.0,12.0,0.0,,1,0,1,1,1,Accident case
251,306,Kundapur,5.0,1.0,1.0,26.0,0,0,0,0,2,Accident case
252,307,Udupi,4.0,12.0,0.0,30.0,1,0,2,1,1,Accident case
253,308,Kota,5.0,1.0,0.0,35.0,1,0,3,0,1,Accident case
254,309,Hiriyadka,4.0,12.0,1.0,45.0,0,0,1,1,2,Accident case
255,310,Kundapur,5.0,1.0,0.0,19.0,0,0,0,0,2,Accident case
256,313,Udupi,4.0,12.0,1.0,35.0,0,0,0,0,2,Violence Act in case
257,314,Udupi,4.0,12.0,1.0,25.0,0,0,0,0,2,Violence Act in case
258,315,Udupi,3.0,12.0,1.0,,1,0,2,0,1,Accident case
259,316,Udupi,4.0,12.0,1.0,34.0,0,0,1,2,2,Accident case
260,317,Udupi,0.0,11.0,0.0,44.0,0,0,0,0,2,Accident case
261,318,Udupi,4.0,12.0,0.0,47.0,0,0,1,1,2,Accident case
262,319,Amasebailu,2.0,12.0,0.0,28.0,0,0,0,1,2,Accident case
263,322,Manipal,3.0,12.0,1.0,26.0,0,0,0,0,2,Theft case
264,323,Shankaranarayana,2.0,12.0,1.0,,0,0,0,1,2,Accident case
265,324,Manipal,2.0,12.0,1.0,51.0,1,0,1,0,1,Accident case
266,325,Kundapur,3.0,12.0,1.0,,1,0,2,0,1,Accident case
267,326,Kundapur,3.0,12.0,1.0,,0,0,0,0,2,Accident case
268,330,Shankaranarayana,1.0,1.0,0.0,,0,0,1,1,2,Accident case
269,331,Hebri,1.0,1.0,0.0,,1,0,1,1,1,Accident case
270,332,Sirva,2.0,1.0,0.0,,0,0,0,1,2,Accident case
271,333,Kota,2.0,1.0,1.0,60.0,0,0,0,1,2,Accident case
272,334,Byndoor,1.0,1.0,1.0,50.0,0,0,1,6,2,Violence Act in case
273,335,Byndoor,1.0,1.0,1.0,45.0,0,0,0,0,2,Violence Act in case
274,336,Byndoor,2.0,1.0,0.0,54.0,1,0,3,5,1,Violence Act in case
275,337,Udupi,2.0,1.0,0.0,42.0,1,0,1,1,1,Accident case
276,338,Udupi,2.0,1.0,0.0,52.0,1,0,2,0,1,Accident case
277,339,Kota,0.0,1.0,0.0,47.0,1,0,2,1,1,Accident case
278,340,Hiriyadka,1.0,1.0,1.0,48.0,1,0,1,1,1,Accident case
279,341,Manipal,1.0,1.0,0.0,54.0,0,0,0,0,2,Theft case
280,342,Byndoor,0.0,1.0,1.0,22.0,1,0,3,0,1,Accident case
281,343,Manipal,1.0,1.0,1.0,40.0,1,0,2,0,1,Accident case
282,344,Byndoor,6.0,1.0,1.0,44.0,0,0,0,0,2,Accident case
283,346,Kota,1.0,1.0,1.0,63.0,1,0,1,0,1,Other case
284,347,Kundapur,5.0,1.0,0.0,60.0,1,0,2,0,1,Accident case
285,348,Hebri,0.0,1.0,0.0,38.0,1,0,2,1,1,Accident case
286,349,Sirva,0.0,1.0,0.0,35.0,1,0,4,0,1,Accident case
287,350,Shankaranarayana,6.0,1.0,0.0,19.0,1,0,2,0,1,Accident case
288,351,Shankaranarayana,6.0,1.0,1.0,,0,0,0,0,2,Accident case
289,352,Manipal,4.0,1.0,0.0,46.0,1,0,3,3,1,Accident case
290,353,Kundapur,6.0,10.0,0.0,42.0,0,0,0,2,2,Theft case
291,354,Ajekar,5.0,1.0,1.0,37.0,1,0,2,2,1,Accident case
292,355,Udupi,3.0,1.0,0.0,35.0,1,0,1,2,1,Accident case
293,356,Kollur,5.0,1.0,1.0,46.0,0,0,3,3,2,Accident case
294,357,Kundapur,5.0,1.0,0.0,55.0,0,0,0,0,2,Accident case
295,358,Kundapur,6.0,1.0,0.0,50.0,1,0,1,2,1,Accident case
296,359,Karkala,6.0,7.0,0.0,35.0,0,1,0,4,0,Other case
297,360,Udupi,6.0,1.0,0.0,30.0,0,0,0,1,2,
298,361,Byndoor,5.0,1.0,0.0,53.0,1,0,3,0,1,
299,364,Karkala,0.0,1.0,0.0,27.0,1,0,2,0,1,Accident case
300,365,Kundapur,5.0,1.0,1.0,36.0,0,0,0,0,2,Accident case
301,366,Kundapur,5.0,1.0,0.0,,0,0,1,1,2,Accident case
302,368,Udupi,,,0.0,,1,0,1,0,1,Other case
303,369,Sirva,5.0,1.0,0.0,39.0,1,0,1,1,1,Accident case
304,370,Kundapur,5.0,1.0,1.0,15.0,0,0,0,0,2,Accident case
305,371,Kundapur,2.0,1.0,0.0,39.0,0,0,0,1,2,
306,372,Byndoor,5.0,1.0,0.0,26.0,1,0,4,2,1,Accident case
307,373,Udupi,0.0,1.0,1.0,,1,0,2,0,1,Accident case
308,377,Karkala,5.0,1.0,,,1,0,1,0,1,Theft case
309,378,Kollur,3.0,1.0,0.0,35.0,1,0,1,0,1,Accident case
310,379,Kundapur,4.0,1.0,0.0,,1,0,1,1,1,Accident case
311,380,Udupi,1.0,11.0,0.0,48.0,1,0,1,0,1,Theft case
312,383,Byndoor,0.0,1.0,1.0,37.0,0,0,2,2,2,Other case
313,384,Karkala,3.0,1.0,1.0,42.0,0,0,0,0,2,Accident case
314,388,Manipal,5.0,1.0,,22.0,1,0,1,0,1,Missing case
315,389,Udupi,3.0,1.0,1.0,52.0,0,0,0,3,2,Violence Act in case
316,390,Udupi,2.0,1.0,0.0,36.0,0,0,0,1,2,Violence Act in case
317,391,Kota,1.0,1.0,1.0,35.0,1,0,2,0,1,Violence Act in case
318,392,Kota,1.0,1.0,1.0,74.0,1,0,2,0,1,Accident case
319,393,Kundapur,2.0,1.0,1.0,,0,0,0,0,2,Accident case
320,394,Kundapur,3.0,1.0,1.0,50.0,0,0,0,0,2,Accident case
321,396,Shankaranarayana,1.0,1.0,1.0,32.0,0,0,0,0,2,Other case
322,397,Udupi,3.0,1.0,0.0,41.0,0,0,0,1,2,Accident case
323,398,Hebri,2.0,1.0,1.0,26.0,1,0,1,2,1,Accident case
324,401,Kundapur,2.0,1.0,0.0,50.0,1,0,1,0,1,Theft case
325,402,Kundapur,2.0,1.0,1.0,26.0,1,0,1,1,1,Other case
326,403,Udupi,6.0,1.0,1.0,20.0,1,0,1,1,1,Accident case
327,404,Karkala,3.0,1.0,1.0,71.0,0,0,0,2,2,Missing case
328,405,Udupi,2.0,12.0,0.0,46.0,0,0,1,2,2,
329,406,Udupi,4.0,12.0,0.0,47.0,0,0,0,2,2,
330,407,Udupi,3.0,12.0,0.0,,1,0,2,1,1,
331,408,Kundapur,0.0,1.0,1.0,,0,0,1,1,2,Accident case
332,409,Manipal,5.0,1.0,1.0,45.0,1,0,3,0,1,Accident case
333,410,Karkala,0.0,1.0,1.0,,1,0,1,0,1,Jugari case
334,411,Kundapur,,,,1.0,0,0,0,1,2,Other case
335,412,Udupi,3.0,12.0,1.0,,1,0,2,0,1,Other case
336,413,Udupi,6.0,1.0,1.0,68.0,0,0,0,0,2,Accident case
337,414,Karkala,3.0,1.0,1.0,20.0,1,0,1,0,1,Accident case
338,415,Udupi,6.0,1.0,1.0,20.0,1,0,3,0,1,Accident case
339,418,Kundapur,6.0,1.0,0.0,51.0,1,0,2,1,1,Other case
340,419,Hebri,6.0,1.0,0.0,1.0,1,0,2,1,1,Other case
341,420,Karkala,5.0,1.0,1.0,27.0,1,0,1,2,1,Accident case
342,421,Karkala,5.0,1.0,1.0,23.0,1,0,3,0,1,Accident case
343,422,Kundapur,5.0,1.0,0.0,70.0,0,0,0,1,2,Missing case
344,423,Shankaranarayana,5.0,1.0,1.0,,0,0,0,0,2,Accident case
345,424,Shankaranarayana,5.0,1.0,1.0,14.0,0,0,0,0,2,Accident case
346,425,Byndoor,5.0,1.0,0.0,36.0,1,0,1,2,1,Missing case
347,426,Kundapur,5.0,1.0,0.0,39.0,1,0,1,0,1,
348,427,Kundapur,5.0,1.0,1.0,52.0,1,0,1,0,1,
349,428,Manipal,4.0,1.0,0.0,1.0,1,0,1,2,1,Jugari case
350,429,Udupi,3.0,1.0,1.0,45.0,1,0,1,0,1,Accident case
351,430,Udupi,4.0,1.0,1.0,65.0,1,0,1,1,1,Accident case
352,431,Udupi,5.0,2.0,1.0,,0,0,0,0,2,Accident case
